,Acc (vertical),LyingDown
0,96.229,0
1,84.746,0
2,82.449,0
3,106.56000000000002,0
4,80.152,0
5,19.292,1
6,89.339,0
7,45.703,0
8,92.784,0
9,83.597,0
10,85.894,0
11,88.191,0
12,14.698,1
13,85.894,0
14,91.636,0
15,14.698,1
16,5.5119,1
17,84.746,0
18,91.636,0
19,82.449,0
20,15.847,1
21,87.042,0
22,88.191,0
23,84.746,0
24,20.44,1
25,8.9569,1
26,80.152,0
27,90.487,0
28,7.8086,1
29,12.402,1
30,95.081,0
31,88.191,0
32,83.597,0
33,89.339,0
34,90.487,0
35,8.9569,1
36,6.6602,1
37,14.698,1
38,95.081,0
39,97.377,0
40,3.2153,1
41,21.588,1
42,93.932,0
43,5.5119,1
44,97.377,0
45,0.91865,1
46,8.9569,1
47,100.82,0
48,92.784,0
49,-2.5263,1
50,92.784,0
51,3.2153,1
52,85.894,0
53,89.339,0
54,97.377,0
55,5.5119,1
56,97.377,0
57,93.932,0
58,0.91865,1
59,96.229,0
60,98.526,0
61,99.674,0
62,91.636,0
63,16.994999999999997,1
64,21.588,1
65,105.42,0
66,10.105,1
67,99.674,0
68,11.254,1
69,112.31,0
70,10.105,1
71,-3.6746,1
72,87.042,0
73,0.91865,1
74,95.081,0
75,-2.5263,1
76,89.339,0
77,80.152,0
78,-4.8229,1
79,89.339,0
80,-4.8229,1
81,79.00399999999999,0
82,75.559,0
83,-16.306,1
84,98.526,0
85,103.12,0
86,87.042,0
87,79.00399999999999,0
88,0.91865,1
89,0.91865,1
90,99.674,0
91,101.97,0
92,93.932,0
93,89.339,0
94,-10.565,1
95,-1.378,1
96,96.229,0
97,95.081,0
98,-3.6746,1
99,-14.009,1
100,5.5119,1
101,-5.9712000000000005,1
102,91.636,0
103,98.526,0
104,-0.22966,1
105,-8.267900000000001,1
106,-4.8229,1
107,97.377,0
108,90.487,0
109,96.229,0
110,-4.8229,1
111,-28.938,1
112,-16.306,1
113,-19.751,1
114,83.597,0
115,98.526,0
116,-4.8229,1
117,-5.9712000000000005,1
118,-15.158,1
119,96.229,0
120,103.12,0
121,95.081,0
122,97.377,0
123,99.674,0
124,93.932,0
125,-5.9712000000000005,1
126,-16.306,1
127,93.932,0
128,-14.009,1
129,-19.751,1
130,91.636,0
131,-2.5263,1
132,97.377,0
133,92.784,0
134,84.746,0
135,88.191,0
136,-1.378,1
137,-4.8229,1
138,97.377,0
139,-9.4162,1
140,2.067,1
141,-7.119599999999999,1
142,88.191,0
143,104.27,0
144,97.377,0
145,91.636,0
146,-5.9712000000000005,1
147,0.91865,1
148,88.191,0
149,-17.454,1
150,43.406,0
151,93.932,0
152,91.636,0
153,101.97,0
154,-17.454,1
155,97.377,0
156,95.081,0
157,-0.22966,1
158,99.674,0
159,92.784,0
160,97.377,0
161,83.597,0
162,0.91865,1
163,-8.267900000000001,1
164,103.12,0
165,96.229,0
166,-5.9712000000000005,1
167,5.5119,1
168,87.042,0
169,106.56000000000002,0
170,106.56000000000002,1
171,4.3636,1
172,75.559,0
173,99.674,0
174,10.105,1
175,110.01,0
176,10.105,1
177,99.674,0
178,16.994999999999997,1
179,97.377,0
180,93.932,0
181,95.081,0
182,6.6602,1
183,-0.22966,1
184,90.487,0
185,97.377,0
186,-10.565,1
187,-5.9712000000000005,1
188,-11.713,1
189,91.636,0
190,-1.378,1
191,-1.378,1
192,5.5119,1
193,103.12,0
194,-48.459,1
195,72.114,0
196,-36.976,1
197,-25.493,1
198,-1.378,1
199,88.191,0
200,4.3636,1
201,13.55,1
202,21.588,1
203,20.44,1
204,90.487,0
205,13.55,1
206,29.627,1
207,18.143,1
208,29.627,1
209,18.143,1
210,6.6602,1
211,105.42,0
212,14.698,1
213,93.932,0
214,-12.861,1
215,-0.22966,1
216,72.114,0
217,97.377,0
218,82.449,0
219,98.526,0
220,-14.009,1
221,88.191,0
222,38.813,0
223,29.627,1
224,100.82,0
225,89.339,0
226,90.487,0
227,-15.158,1
228,91.636,0
229,-7.119599999999999,1
230,-9.4162,0
231,16.994999999999997,1
232,-27.789,1
233,77.85600000000001,0
234,62.928,0
235,70.966,0
236,97.377,1
237,-27.789,1
238,-34.679,1
239,80.152,0
240,70.966,0
241,-38.124,1
242,-25.493,1
243,-28.938,1
244,74.411,0
245,75.559,0
246,87.042,0
247,97.377,0
248,99.674,0
249,89.339,0
250,80.152,0
251,75.559,0
252,-28.938,1
253,95.081,0
254,88.191,0
255,-28.938,1
256,91.636,0
257,80.152,0
258,-16.306,1
259,83.597,0
260,80.152,0
261,-12.861,1
262,-20.899,1
263,81.301,0
264,-26.641,1
265,87.042,0
266,90.487,0
267,-39.272,1
268,-17.454,1
269,89.339,0
270,101.97,0
271,61.779,0
272,-32.383,1
273,-25.493,1
274,84.746,0
